userID,reviews_rating,prod_name
joshua,5,Pink Friday: Roman Reloaded Re-Up (w/dvd)
dorothy w,5,Lundberg Organic Cinnamon Toast Rice Cakes
dorothy w,5,Lundberg Organic Cinnamon Toast Rice Cakes
rebecca,1,K-Y Love Sensuality Pleasure Gel
walker557,1,K-Y Love Sensuality Pleasure Gel
samantha,1,K-Y Love Sensuality Pleasure Gel
raeanne,1,K-Y Love Sensuality Pleasure Gel
kimmie,1,K-Y Love Sensuality Pleasure Gel
cassie,1,K-Y Love Sensuality Pleasure Gel
moore222,1,K-Y Love Sensuality Pleasure Gel
jds1992,1,K-Y Love Sensuality Pleasure Gel
bre234,1,K-Y Love Sensuality Pleasure Gel
jds1992,1,K-Y Love Sensuality Pleasure Gel
gordy313,1,K-Y Love Sensuality Pleasure Gel
nicole,1,K-Y Love Sensuality Pleasure Gel
cvperez,1,K-Y Love Sensuality Pleasure Gel
beccagrl532,1,K-Y Love Sensuality Pleasure Gel
sanchez,1,K-Y Love Sensuality Pleasure Gel
ll24,3,K-Y Love Sensuality Pleasure Gel
browns fan,3,K-Y Love Sensuality Pleasure Gel
just faith everyday,4,K-Y Love Sensuality Pleasure Gel
vero,4,K-Y Love Sensuality Pleasure Gel
jo276,4,K-Y Love Sensuality Pleasure Gel
ashley a,5,K-Y Love Sensuality Pleasure Gel
jp71,5,K-Y Love Sensuality Pleasure Gel
jkell,5,K-Y Love Sensuality Pleasure Gel
karen,5,K-Y Love Sensuality Pleasure Gel
warren,5,K-Y Love Sensuality Pleasure Gel
mas0814,5,K-Y Love Sensuality Pleasure Gel
amanda,5,K-Y Love Sensuality Pleasure Gel
peach pie,5,"J.R. Watkins Hand Cream, Lemon Cream"
birdwoman,5,"J.R. Watkins Hand Cream, Lemon Cream"
michelle,5,"J.R. Watkins Hand Cream, Lemon Cream"
jean z,5,"J.R. Watkins Hand Cream, Lemon Cream"
vanessa mcnally,5,"J.R. Watkins Hand Cream, Lemon Cream"
5alarm,5,"J.R. Watkins Hand Cream, Lemon Cream"
danielle,4,Ambi Complexion Cleansing Bar
shedove,5,Ambi Complexion Cleansing Bar
cynthiacc,5,Ambi Complexion Cleansing Bar
dfwatheartgirl,5,Ambi Complexion Cleansing Bar
crissyx5,1,"Johnson's Baby Bubble Bath and Wash, 15oz"
nyisha m,2,"Johnson's Baby Bubble Bath and Wash, 15oz"
gardenbunny318,3,"Johnson's Baby Bubble Bath and Wash, 15oz"
solo,4,"Johnson's Baby Bubble Bath and Wash, 15oz"
solo,4,"Johnson's Baby Bubble Bath and Wash, 15oz"
sasparilla,4,"Johnson's Baby Bubble Bath and Wash, 15oz"
mkris18,4,"Johnson's Baby Bubble Bath and Wash, 15oz"
momof2,4,"Johnson's Baby Bubble Bath and Wash, 15oz"
mommyshappy8714,5,"Johnson's Baby Bubble Bath and Wash, 15oz"
eyo,5,"Johnson's Baby Bubble Bath and Wash, 15oz"
anonymous8589,5,"Johnson's Baby Bubble Bath and Wash, 15oz"
jazzymom,5,"Johnson's Baby Bubble Bath and Wash, 15oz"
